Etiqueta,Aspect_Ratio,Densidad
1,1.0392,0.565
1,1.0495,0.5654
1,1.0495,0.5705
1,1.06,0.5813
1,1.049,0.57
1,1.0291,0.5699
1,1.049,0.5717
1,1.0392,0.5799
1,1.0392,0.581
1,1.049,0.5823
1,1.0388,0.5754
1,1.0095,0.5768
1,1.0381,0.5617
1,1.0189,0.5757
1,1.0283,0.5877
1,1.0278,0.5792
1,1.0183,0.5876
1,1.0182,0.5788
1,1.0273,0.5964
1,1.009,0.5991
1,1.027,0.5969
1,1.0177,0.5962
1,1.0177,0.6103
1,1.0174,0.599
1,1.0351,0.6105
1,1.0435,0.6133
1,1.0259,0.622
1,1.0342,0.6107
1,1.0342,0.6095
1,1.0254,0.6112
1,1.0,0.6119
1,1.0252,0.6171
1,1.0336,0.6175
1,1.0504,0.6119
1,1.0588,0.6187
1,1.0504,0.6253
1,1.0678,0.6304
1,1.0588,0.6321
1,1.0862,0.6534
1,1.1239,0.6653
1,1.1441,0.6753
1,1.1043,0.6579
1,1.1228,0.6633
1,1.1043,0.6577
1,1.113,0.6539
1,1.114,0.6601
1,1.113,0.648
1,1.113,0.6515
1,1.114,0.6647
1,1.113,0.6456
1,1.0957,0.6594
1,1.0957,0.6629
1,1.114,0.6558
1,1.114,0.6511
1,1.114,0.6432
1,1.0973,0.6532
1,1.1062,0.6514
1,1.1161,0.6524
1,1.115,0.6412
1,1.0973,0.6562
1,1.1239,0.6438
1,1.1239,0.645
1,1.1327,0.6537
1,1.114,0.654
1,1.1228,0.6509
1,1.1228,0.6545
1,1.1217,0.6408
1,1.1228,0.6562
1,1.1228,0.6639
1,1.1217,0.6429
1,1.1316,0.6361
1,1.1304,0.6378
1,1.1304,0.6299
1,1.1404,0.6361
1,1.1217,0.6355
1,1.1217,0.634
1,1.1404,0.6325
1,1.1228,0.6348
1,1.1207,0.6182
1,1.1217,0.6264
1,1.1404,0.626
1,1.1404,0.6292
1,1.1316,0.6294
1,1.1327,0.6435
1,1.1316,0.6344
1,1.1316,0.6351
1,1.1316,0.629
1,1.1228,0.6416
1,1.1416,0.6429
1,1.1504,0.6372
1,1.0488,0.5799
1,1.1304,0.6132
1,1.032,0.5756
1,1.04,0.5686
1,1.0238,0.5662
1,1.0079,0.561
1,1.0157,0.5494
1,1.0159,0.554
1,1.0,0.5396
1,1.0,0.5455
1,1.0,0.54
1,1.016,0.542
1,1.0325,0.5522
1,1.0325,0.5491
1,1.0242,0.5483
1,1.0323,0.5466
1,0.9922,0.5418
1,0.9922,0.55
1,1.0,0.552
1,1.024,0.5569
1,1.0078,0.5451
1,1.0078,0.5511
1,1.0156,0.5566
1,1.0156,0.5606
1,1.0157,0.5736
1,1.0236,0.5822
1,1.0236,0.5839
1,1.1102,0.6275
1,1.1197,0.6509
1,1.1282,0.6519
1,1.1186,0.6423
1,1.1282,0.6407
1,1.1197,0.6517
1,1.1102,0.6379
1,1.1293,0.6462
1,1.1197,0.637
1,1.1207,0.6447
1,1.1304,0.6461
1,1.1207,0.6353
1,1.1121,0.6404
1,1.1217,0.6506
1,1.1217,0.6506
1,1.1207,0.6346
1,1.1304,0.6397
1,1.1217,0.6538
1,1.1316,0.6581
1,1.1316,0.6581
1,1.1316,0.6548
1,1.1217,0.6429
1,1.113,0.6423
1,1.1034,0.6348
1,1.1034,0.621
1,1.0328,0.6012
1,1.0583,0.5995
1,1.0417,0.6079
1,1.0328,0.5942
1,1.0328,0.5942
1,1.042,0.6141
1,1.0504,0.6041
1,1.0163,0.5768
1,1.0333,0.588
1,1.0603,0.5984
1,1.0168,0.5921
1,1.0254,0.5879
1,1.0084,0.5847
1,1.0435,0.6023
1,1.0085,0.5897
1,1.0345,0.5937
1,1.0259,0.5902
1,1.0174,0.6058
1,1.0259,0.5822
1,1.0259,0.5819
1,1.0172,0.5924
1,1.0,0.5948
1,1.0261,0.5937
1,1.0,0.583
1,1.0,0.5946
1,1.0348,0.5886
1,1.0263,0.6029
1,1.0348,0.5886
1,1.0261,0.5911
1,1.0348,0.5886
1,1.0261,0.5998
1,1.0087,0.6043
1,1.0172,0.5885
1,1.0348,0.5914
1,1.0259,0.596
1,1.0348,0.6074
1,1.0172,0.6055
1,1.0345,0.5982
1,1.0169,0.5918
1,1.0169,0.586
1,1.0526,0.6094
1,1.0345,0.6015
1,1.0169,0.5862
1,1.0342,0.5941
1,1.0259,0.5979
1,1.1204,0.6305
1,1.0435,0.5985
1,1.0345,0.5929
1,1.0619,0.6024
1,1.0439,0.596
1,1.0435,0.5875
1,1.0261,0.5995
1,1.0439,0.6005
1,1.0619,0.5976
1,1.1226,0.6365
1,1.0531,0.5902
1,1.0446,0.5983
1,1.1143,0.6295
1,1.045,0.5925
1,1.0545,0.5837
1,1.0545,0.5768
1,1.0556,0.5946
1,1.0459,0.5798
1,1.0463,0.5808
1,1.0667,0.5937
1,1.0566,0.587
1,1.0571,0.5862
1,1.0377,0.5777
1,1.0481,0.5905
1,1.0485,0.5854
1,1.049,0.5872
1,1.049,0.5753
1,1.0388,0.5683
1,1.0196,0.5704
1,1.0396,0.5645
1,1.0505,0.5702
1,1.03,0.5655
1,1.0729,0.5829
1,1.0625,0.5886
1,1.051,0.5742
1,1.0198,0.5561
1,1.0625,0.5872
1,1.0722,0.5766
1,1.03,0.5732
1,1.0612,0.5868
1,1.0722,0.5878
1,1.0294,0.5762
1,1.0196,0.5794
1,1.0707,0.5988
1,1.0288,0.5687
1,1.049,0.5902
1,1.0286,0.5798
1,1.0481,0.5907
1,1.0481,0.6014
1,1.0278,0.5839
1,1.0566,0.5938
1,1.0367,0.5879
1,1.0364,0.5934
1,1.036,0.5944
1,1.0446,0.5965
1,1.0536,0.5968
1,1.0345,0.5824
1,1.0342,0.5878
1,1.0342,0.6007
1,1.0342,0.6021
1,1.0083,0.5814
1,1.0254,0.6093
1,1.0,0.586
1,1.0336,0.6003
1,1.0339,0.6105
1,1.042,0.6001
1,1.0598,0.6035
1,1.042,0.6004
1,1.0165,0.5885
1,1.0504,0.589
1,1.042,0.5951
1,1.0083,0.5921
1,1.0424,0.5994
1,1.0167,0.5839
1,1.0345,0.5998
1,1.0348,0.6075
1,1.0348,0.5971
1,1.0351,0.5949
1,1.0442,0.5855
1,1.0545,0.5979
1,1.0273,0.6006
1,1.0273,0.5891
1,1.0571,0.6119
1,1.0481,0.603
1,1.0485,0.5967
1,1.0288,0.5857
1,1.0495,0.5908
1,1.0714,0.5999
1,1.0196,0.5641
1,1.0612,0.5803
1,1.0612,0.5794
1,1.0825,0.5752
1,1.0619,0.5851
1,1.0619,0.5818
1,1.0619,0.5857
1,1.0619,0.5871
1,1.0196,0.5595
1,1.0198,0.5654
1,1.0722,0.5917
1,1.0612,0.5877
1,1.0294,0.5639
1,1.0294,0.5729
1,1.0294,0.5782
1,1.0096,0.5767
1,1.049,0.5854
1,1.0286,0.5749
1,1.0481,0.5797
1,1.0093,0.5809
1,1.0385,0.597
1,1.0476,0.5829
1,1.0481,0.5983
1,1.0583,0.6054
1,1.0583,0.6054
1,1.0777,0.6076
1,1.028,0.5903
1,1.0374,0.584
1,1.0374,0.594
1,1.028,0.5997
1,1.0183,0.5919
1,1.0091,0.5811
1,1.0182,0.5834
